scene,scale,depth_a,depth_b,js_divergence,cosine_similarity
bathroom,native,1,2,0.0861938764844849,0.8354863036303591
bathroom,native,2,3,0.023406798796779007,0.9263372176153204
bathroom,native,3,4,0.011280522275597553,0.9760265734463845
bathroom,native,4,5,0.0067170624854997595,0.9850671989190735
bathroom,medium,1,2,0.07599326477295354,0.85463742859104
bathroom,medium,2,3,0.020352167154869323,0.9312508367850477
bathroom,medium,3,4,0.00917536707906185,0.9782961655384202
bathroom,medium,4,5,0.004943191694718532,0.9876052028517118
bathroom,coarse,1,2,0.06282597253638912,0.8765736236711943
bathroom,coarse,2,3,0.01719901555321738,0.9369300787852811
bathroom,coarse,3,4,0.00784508766090418,0.978912231152639
bathroom,coarse,4,5,0.003915809720890434,0.9885902243475261
car,native,1,2,0.15506013343140682,0.75380199699178
car,native,2,3,0.09677741781074656,0.743820384926697
car,native,3,4,0.05048634190011591,0.66368652190849
car,native,4,5,0.028395558951166834,0.7379943114841604
car,medium,1,2,0.1424539338991107,0.7797638576056392
car,medium,2,3,0.08854212805295525,0.8189860165889695
car,medium,3,4,0.04244012789162318,0.8666679901485407
car,medium,4,5,0.02371517073315741,0.8708195213048535
car,coarse,1,2,0.12030219646509327,0.81727777200754
car,coarse,2,3,0.07636367782752485,0.8674035919870511
car,coarse,3,4,0.034916138752721655,0.9222670099394145
car,coarse,4,5,0.020365267729862937,0.9590309096918264
cornell-box,native,1,2,0.04426955999691289,0.9297919484420913
cornell-box,native,2,3,0.007520241937357525,0.9878868197418763
cornell-box,native,3,4,0.0028141562969837023,0.9946893409538229
cornell-box,native,4,5,0.001072508288457365,0.9980365757123351
cornell-box,medium,1,2,0.04251831007627867,0.934906735277447
cornell-box,medium,2,3,0.006784843478443156,0.9895062646042022
cornell-box,medium,3,4,0.00236475675344768,0.9956236837274453
cornell-box,medium,4,5,0.000646962889940626,0.9987151701269793
cornell-box,coarse,1,2,0.036868815572965945,0.9416239011943309
cornell-box,coarse,2,3,0.005510466417182803,0.9908367208215851
